attendance_pct,study_hrs,syllabus_understood,seat_position,screen_time_hrs,ott_hrs_per_week,exam_prep_timing,travel_time_hrs,sleep_hrs,panic_level,midterm_pct,endsem_pct
74.0,0,4,3,3.0,0.0,3,1,5,2,75.0,82.0
86.0,0,4,2,9.0,2.0,1,1,8,2,70.0,75.0
88.0,2,1,2,6.0,0.0,2,0,8,3,67.0,77.0
100.0,3,4,3,1.0,0.0,3,0,7,1,71.0,80.1
87.74,5,3,3,1.5,0.0,4,1,6,4,84.0,83.0
68.0,0,3,2,6.0,4.0,2,2,6,5,80.0,78.0
74.53,3,2,2,4.0,2.0,1,0,6,1,62.0,70.2
88.39,5,2,3,4.0,0.0,4,5,7,3,79.0,80.0
92.0,5,5,1,10.0,2.0,1,2,5,1,89.0,92.0
65.0,4,4,1,4.0,4.0,3,4,6,3,84.0,84.0
80.0,1,3,2,1.0,2.0,3,2,7,3,88.0,80.0
90.0,3,4,3,7.0,2.0,1,2,6,1,74.0,71.0
74.4,0,5,1,3.0,8.0,1,2,8,1,83.0,74.4
85.0,0,1,3,1.0,0.0,3,2,7,3,70.0,76.0
90.0,1,2,3,6.0,0.0,1,0,8,5,67.0,72.0
80.0,10,5,3,12.0,2.0,1,1,10,1,53.9,68.9
72.0,2,1,2,3.0,2.0,3,1,6,1,75.0,75.0
74.0,2,2,2,3.0,0.0,3,1,6,2,62.0,75.0
81.82,2,3,2,4.0,2.0,3,0,5,2,70.0,67.0
86.0,1,5,2,4.0,0.0,3,0,8,2,78.0,76.0
75.4,2,3,2,4.0,2.0,3,0,5,3,75.0,70.0
73.0,1,1,1,6.0,4.0,3,1,7,3,63.0,70.0
73.0,1,3,2,5.0,8.0,2,0,5,1,74.0,70.0
53.0,4,3,2,3.0,0.0,4,0,6,1,37.0,35.0
77.0,1,1,1,7.0,2.0,1,1,8,1,67.0,70.0
76.45,2,1,2,4.0,0.0,1,0,8,5,79.0,77.0
96.64,3,0,3,1.0,0.0,3,0,7,1,70.0,84.0
72.0,2,3,2,3.0,0.0,3,1,7,2,70.0,75.0
80.21,1,2,2,4.0,0.0,1,0,9,3,60.0,69.0
